epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,811.439,1.78867,0.20601,0.91845,1.75168,0.000995781,0.000331927,0.000995781,0.000331927,0.000995781,0.000331927,0.000995781,0.000331927
2,1474.97,1.64017,0.29614,0.93562,1.57441,0.00192992,0.000643307,0.00192992,0.000643307,0.00192992,0.000643307,0.00192992,0.000643307
3,2008.83,1.45178,0.30043,0.96567,1.51153,0.00279806,0.000932686,0.00279806,0.000932686,0.00279806,0.000932686,0.00279806,0.000932686
4,2473.03,1.31101,0.42489,0.99571,1.37724,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
5,2975.73,1.20854,0.3691,0.99571,1.37147,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868
6,3501.04,1.15006,0.45064,0.99571,1.36928,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835
7,4029.62,1.08704,0.42918,0.99571,1.43031,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
8,4564.83,1.03234,0.43777,1,1.34758,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769
9,5080.98,0.99891,0.42489,0.99571,1.49693,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
10,5498.77,0.95903,0.41202,1,1.38193,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
11,5985.23,0.93151,0.46352,1,1.42302,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067
12,6408.72,0.90266,0.44635,0.99571,1.52403,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637
13,6911.01,0.86135,0.43348,1,1.4712,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
14,7160.65,0.84812,0.44206,0.99571,1.51955,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571
15,7396.96,0.82925,0.43348,0.99571,1.51985,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538
16,7768.72,0.82134,0.44635,1,1.47259,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
17,8091.43,0.76961,0.40773,0.99142,1.65994,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472
18,8586.98,0.75387,0.40773,0.99571,1.68061,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439
19,9095.58,0.75462,0.41631,0.99142,1.64253,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
20,9413.22,0.75826,0.41631,0.99142,1.69725,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373
21,9748.1,0.7304,0.42918,0.99142,1.77187,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
22,10006.2,0.70713,0.42489,0.98712,1.65929,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
23,10245.4,0.71885,0.43777,0.99571,1.73001,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274
24,10505.8,0.69897,0.42918,0.99571,1.72016,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241
25,10941,0.69841,0.42918,0.99142,1.72119,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
26,11179,0.69498,0.41631,0.99142,1.80016,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175
27,11697.4,0.68765,0.44635,0.99571,1.85182,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142,0.000426,0.000142
28,12227.7,0.68009,0.4206,0.99142,1.75465,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
29,12599.9,0.66585,0.41631,0.99142,1.84093,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05,0.000228,7.6e-05
30,12893.8,0.67861,0.42918,0.99142,1.78598,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05,0.000129,4.3e-05
